year,code,varroa,spores,cbpv_max,dwv_max,iapv_max,kbv_max,sbpv_max,abpv_max,dwv-b_max,lsv2_max,mkv_max,cbpv_prob,dwv_prob,iapv_prob,kbv_prob,sbpv_prob,abpv_prob,dwv-b_prob,lsv2_prob,mkv_prob,prevyearspores,prevyearvarroa,state
2016,GA,2.9085185185185187,0.16666666666666666,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.14814814814814814,0.9259259259259259,0.1111111111111111,0.0,0.0,0.2222222222222222,0.6666666666666666,0.18518518518518517,0.0,0.0857142857142857,1.3204761904761904,Georgia
2017,GA,1.9122727272727273,0.13863636363636364,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.13636363636363635,1.0,0.045454545454545456,0.0,0.0,0.2727272727272727,0.9545454545454546,0.22727272727272727,0.0,0.16666666666666666,2.9085185185185187,Georgia
2018,GA,2.0755555555555554,0.024074074074074074,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9629629629629629,0.14814814814814814,0.037037037037037035,0.0,0.2222222222222222,0.9629629629629629,0.2222222222222222,0.0,0.13863636363636364,1.9122727272727273,Georgia
2019,GA,2.5987500000000003,0.3,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.8333333333333334,0.20833333333333334,0.0,0.0,0.08333333333333333,1.0,0.08333333333333333,0.0,0.024074074074074074,2.0755555555555554,Georgia
2020,GA,1.8004166666666668,0.12291666666666667,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.041666666666666664,0.875,0.125,0.0,0.0,0.2916666666666667,0.9583333333333334,0.16666666666666666,0.0,0.3,2.5987500000000003,Georgia
2014,GU,1.1408571428571428,2.162857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.937125493554065,0.3605960230245944,
2015,GU,0.12866666666666665,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.162857142857143,1.1408571428571428,
2016,GU,1.213076923076923,0.2576923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,1.61,0.12866666666666665,
2017,GU,0.023571428571428573,0.8607142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.2576923076923077,1.213076923076923,
2018,GU,0.0,0.9595238095238094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.8607142857142858,0.023571428571428573,
2019,GU,0.018000000000000002,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9595238095238094,0.0,
2020,GU,0.0,0.5590909090909091,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.2727272727272727,0.0,0.15,0.018000000000000002,
2009,HI,7.344285714285713,0.6457142857142858,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,1.0,0.0,0.0,0.0,0.9411438087938523,2.6320973788777304,Hawaii
2010,HI,2.2163636363636368,0.5827272727272726,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.9333333333333333,0.0,0.0,0.0,0.6457142857142858,7.344285714285713,Hawaii
2011,HI,3.677241379310345,0.8262068965517242,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3448275862068966,0.0,0.0,0.0,0.6896551724137931,0.0,0.0,0.0,0.5827272727272726,2.2163636363636368,Hawaii
2012,HI,4.725,1.1700000000000002,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.85,0.05,0.05,0.0,0.3,0.0,0.0,0.0,0.8262068965517242,3.677241379310345,Hawaii
2013,HI,3.1157692307692306,1.5365384615384616,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.07692307692307693,0.11538461538461539,0.0,0.34615384615384615,0.0,0.0,0.0,1.1700000000000002,4.725,Hawaii
2014,HI,1.2,0.73,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.375,0.125,0.1875,0.0,0.375,0.0,0.0,0.0,1.5365384615384616,3.1157692307692306,Hawaii
2015,HI,1.5057142857142856,0.3738095238095238,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.047619047619047616,0.38095238095238093,0.047619047619047616,0.047619047619047616,0.0,0.3333333333333333,0.0,0.047619047619047616,0.0,0.73,1.2,Hawaii
2016,HI,1.0156521739130435,0.9706521739130435,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.043478260869565216,0.7391304347826086,0.043478260869565216,0.021739130434782608,0.0,0.7608695652173914,0.043478260869565216,0.021739130434782608,0.0,0.3738095238095238,1.5057142857142856,Hawaii
2019,HI,0.9789473684210527,0.8157894736842105,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.05263157894736842,0.5789473684210527,0.10526315789473684,0.0,0.0,0.10526315789473684,0.7894736842105263,0.2631578947368421,0.0,0.9411438087938523,2.6320973788777304,Hawaii
2020,HI,0.542,1.7599999999999998,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.6,0.0,0.0,0.0,0.2,0.6,0.0,0.2,0.8157894736842105,0.9789473684210527,Hawaii
2011,IA,6.827272727272727,0.15454545454545454,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09090909090909091,1.0,0.0,0.0,0.32939831002331005,2.673628758318976,Iowa
2012,IA,3.3666666666666667,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.05555555555555555,1.0,0.0,0.0,0.15454545454545454,6.827272727272727,Iowa
2013,IA,1.0942307692307691,0.2173076923076923,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.8076923076923077,0.07692307692307693,0.15384615384615385,0.0,0.07692307692307693,1.0,0.038461538461538464,0.0,0.6666666666666666,3.3666666666666667,Iowa
2014,IA,1.135,0.2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.05555555555555555,0.7222222222222222,0.3888888888888889,0.2777777777777778,0.0,0.05555555555555555,1.0,0.3888888888888889,0.0,0.2173076923076923,1.0942307692307691,Iowa
2015,IA,4.395555555555556,0.16666666666666666,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.1111111111111111,0.6666666666666666,0.3333333333333333,0.2222222222222222,0.0,0.0,1.0,0.1111111111111111,0.0,0.2,1.135,Iowa
2016,IA,3.0044999999999997,0.3425,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.2,1.0,0.4,0.2,0.0,0.2,1.0,0.55,0.0,0.16666666666666666,4.395555555555556,Iowa
2017,IA,1.0645,0.3375,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.05,0.55,0.3,0.0,0.0,0.2,0.95,0.65,0.0,0.3425,3.0044999999999997,Iowa
2018,IA,0.5013043478260869,0.55,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.43478260869565216,0.4782608695652174,0.043478260869565216,0.0,0.13043478260869565,0.9565217391304348,0.5652173913043478,0.0,0.3375,1.0645,Iowa
2011,ID,7.816666666666666,0.049999999999999996,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.15501257183908046,2.9614443247126436,Idaho
2012,ID,2.6241379310344826,0.46551724137931033,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.896551724137931,0.034482758620689655,0.0,0.0,0.0,1.0,0.0,0.0,0.049999999999999996,7.816666666666666,Idaho
